county,PCODE,climate_zone,year_month,year,month,rainfall_mm,lta_mm,anomaly_mm,pct_of_normal
Kwale,KE002,coastal,2019-01,2019,1,17.64,30.0,-12.36,58.8
Kwale,KE002,coastal,2019-02,2019,2,34.41,30.0,4.41,114.7
Kwale,KE002,coastal,2019-03,2019,3,47.6,60.0,-12.4,79.3
Kwale,KE002,coastal,2019-04,2019,4,207.43,180.0,27.43,115.2
Kwale,KE002,coastal,2019-05,2019,5,168.26,160.0,8.26,105.2
Kwale,KE002,coastal,2019-06,2019,6,73.49,80.0,-6.51,91.9
Kwale,KE002,coastal,2019-07,2019,7,26.15,40.0,-13.85,65.4
Kwale,KE002,coastal,2019-08,2019,8,18.84,40.0,-21.16,47.1
Kwale,KE002,coastal,2019-09,2019,9,51.62,50.0,1.62,103.2
Kwale,KE002,coastal,2019-10,2019,10,109.87,110.0,-0.13,99.9
Kwale,KE002,coastal,2019-11,2019,11,166.45,140.0,26.45,118.9
Kwale,KE002,coastal,2019-12,2019,12,149.15,80.0,69.15,186.4
Kwale,KE002,coastal,2020-01,2020,1,29.09,30.0,-0.91,97.0
Kwale,KE002,coastal,2020-02,2020,2,17.04,30.0,-12.96,56.8
Kwale,KE002,coastal,2020-03,2020,3,53.34,60.0,-6.66,88.9
Kwale,KE002,coastal,2020-04,2020,4,158.35,180.0,-21.65,88.0
Kwale,KE002,coastal,2020-05,2020,5,115.23,160.0,-44.77,72.0
Kwale,KE002,coastal,2020-06,2020,6,92.88,80.0,12.88,116.1
Kwale,KE002,coastal,2020-07,2020,7,46.46,40.0,6.46,116.2
Kwale,KE002,coastal,2020-08,2020,8,135.08,40.0,95.08,337.7
Kwale,KE002,coastal,2020-09,2020,9,68.43,50.0,18.43,136.9
Kwale,KE002,coastal,2020-10,2020,10,131.89,110.0,21.89,119.9
Kwale,KE002,coastal,2020-11,2020,11,92.83,140.0,-47.17,66.3
Kwale,KE002,coastal,2020-12,2020,12,67.22,80.0,-12.78,84.0
Kwale,KE002,coastal,2021-01,2021,1,64.9,30.0,34.9,216.3
Kwale,KE002,coastal,2021-02,2021,2,11.7,30.0,-18.3,39.0
Kwale,KE002,coastal,2021-03,2021,3,31.14,60.0,-28.86,51.9
Kwale,KE002,coastal,2021-04,2021,4,173.29,180.0,-6.71,96.3
Kwale,KE002,coastal,2021-05,2021,5,74.47,160.0,-85.53,46.5
Kwale,KE002,coastal,2021-06,2021,6,98.92,80.0,18.92,123.6
Kwale,KE002,coastal,2021-07,2021,7,38.58,40.0,-1.42,96.4
Kwale,KE002,coastal,2021-08,2021,8,28.6,40.0,-11.4,71.5
Kwale,KE002,coastal,2021-09,2021,9,17.85,50.0,-32.15,35.7
Kwale,KE002,coastal,2021-10,2021,10,76.38,110.0,-33.62,69.4
Kwale,KE002,coastal,2021-11,2021,11,63.83,140.0,-76.17,45.6
Kwale,KE002,coastal,2021-12,2021,12,49.11,80.0,-30.89,61.4
Kwale,KE002,coastal,2022-01,2022,1,20.13,30.0,-9.87,67.1
Kwale,KE002,coastal,2022-02,2022,2,23.06,30.0,-6.94,76.9
Kwale,KE002,coastal,2022-03,2022,3,22.28,60.0,-37.72,37.1
Kwale,KE002,coastal,2022-04,2022,4,61.73,180.0,-118.27,34.3
Kwale,KE002,coastal,2022-05,2022,5,41.15,160.0,-118.85,25.7
Kwale,KE002,coastal,2022-06,2022,6,88.61,80.0,8.61,110.8
Kwale,KE002,coastal,2022-07,2022,7,66.78,40.0,26.78,167.0
Kwale,KE002,coastal,2022-08,2022,8,46.18,40.0,6.18,115.4
Kwale,KE002,coastal,2022-09,2022,9,62.74,50.0,12.74,125.5
Kwale,KE002,coastal,2022-10,2022,10,47.54,110.0,-62.46,43.2
Kwale,KE002,coastal,2022-11,2022,11,98.09,140.0,-41.91,70.1
Kwale,KE002,coastal,2022-12,2022,12,63.55,80.0,-16.45,79.4
Kwale,KE002,coastal,2023-01,2023,1,3.17,30.0,-26.83,10.6
Kwale,KE002,coastal,2023-02,2023,2,11.73,30.0,-18.27,39.1
Kwale,KE002,coastal,2023-03,2023,3,81.18,60.0,21.18,135.3
Kwale,KE002,coastal,2023-04,2023,4,69.08,180.0,-110.92,38.4
Kwale,KE002,coastal,2023-05,2023,5,202.88,160.0,42.88,126.8
Kwale,KE002,coastal,2023-06,2023,6,35.32,80.0,-44.68,44.2
Kwale,KE002,coastal,2023-07,2023,7,22.1,40.0,-17.9,55.2
Kwale,KE002,coastal,2023-08,2023,8,40.97,40.0,0.97,102.4
Kwale,KE002,coastal,2023-09,2023,9,43.83,50.0,-6.17,87.7
Kwale,KE002,coastal,2023-10,2023,10,185.84,110.0,75.84,168.9
Kwale,KE002,coastal,2023-11,2023,11,502.09,140.0,362.09,358.6
Kwale,KE002,coastal,2023-12,2023,12,91.06,80.0,11.06,113.8
Kwale,KE002,coastal,2024-01,2024,1,29.33,30.0,-0.67,97.8
Kwale,KE002,coastal,2024-02,2024,2,39.42,30.0,9.42,131.4
Kwale,KE002,coastal,2024-03,2024,3,66.8,60.0,6.8,111.3
Kwale,KE002,coastal,2024-04,2024,4,136.91,180.0,-43.09,76.1
Kwale,KE002,coastal,2024-05,2024,5,123.53,160.0,-36.47,77.2
Kwale,KE002,coastal,2024-06,2024,6,105.38,80.0,25.38,131.7
Kwale,KE002,coastal,2024-07,2024,7,53.67,40.0,13.67,134.2
Kwale,KE002,coastal,2024-08,2024,8,42.85,40.0,2.85,107.1
Kwale,KE002,coastal,2024-09,2024,9,32.96,50.0,-17.04,65.9
Kwale,KE002,coastal,2024-10,2024,10,72.11,110.0,-37.89,65.6
Kwale,KE002,coastal,2024-11,2024,11,115.63,140.0,-24.37,82.6
Kwale,KE002,coastal,2024-12,2024,12,69.91,80.0,-10.09,87.4
Kwale,KE002,coastal,2025-01,2025,1,35.28,30.0,5.28,117.6
Kwale,KE002,coastal,2025-02,2025,2,26.1,30.0,-3.9,87.0
Kwale,KE002,coastal,2025-03,2025,3,75.2,60.0,15.2,125.3
Kwale,KE002,coastal,2025-04,2025,4,224.62,180.0,44.62,124.8
Kwale,KE002,coastal,2025-05,2025,5,238.24,160.0,78.24,148.9
Kwale,KE002,coastal,2025-06,2025,6,76.39,80.0,-3.61,95.5
Kwale,KE002,coastal,2025-07,2025,7,43.14,40.0,3.14,107.8
Kwale,KE002,coastal,2025-08,2025,8,35.88,40.0,-4.12,89.7
Kwale,KE002,coastal,2025-09,2025,9,33.13,50.0,-16.87,66.3
Kwale,KE002,coastal,2025-10,2025,10,230.72,110.0,120.72,209.7
Kwale,KE002,coastal,2025-11,2025,11,214.43,140.0,74.43,153.2
Kwale,KE002,coastal,2025-12,2025,12,107.28,80.0,27.28,134.1
Kwale,KE002,coastal,2026-01,2026,1,26.0,30.0,-4.0,86.7
Kwale,KE002,coastal,2026-02,2026,2,16.86,30.0,-13.14,56.2
Kilifi,KE003,coastal,2018-01,2018,1,37.24,27.0,10.24,137.9
Kilifi,KE003,coastal,2018-02,2018,2,24.05,27.0,-2.95,89.1
Kilifi,KE003,coastal,2018-03,2018,3,47.03,54.0,-6.97,87.1
Kilifi,KE003,coastal,2018-04,2018,4,93.98,162.0,-68.02,58.0
Kilifi,KE003,coastal,2018-05,2018,5,117.4,144.0,-26.6,81.5
Kilifi,KE003,coastal,2018-06,2018,6,54.92,72.0,-17.08,76.3
Kilifi,KE003,coastal,2018-07,2018,7,27.9,36.0,-8.1,77.5
Kilifi,KE003,coastal,2018-08,2018,8,37.44,36.0,1.44,104.0
Kilifi,KE003,coastal,2018-09,2018,9,21.94,45.0,-23.06,48.8
Kilifi,KE003,coastal,2018-10,2018,10,43.36,99.0,-55.64,43.8
Kilifi,KE003,coastal,2018-11,2018,11,76.92,126.0,-49.08,61.0
Kilifi,KE003,coastal,2018-12,2018,12,54.87,72.0,-17.13,76.2
Kilifi,KE003,coastal,2019-01,2019,1,35.67,27.0,8.67,132.1
Kilifi,KE003,coastal,2019-02,2019,2,23.92,27.0,-3.08,88.6
Kilifi,KE003,coastal,2019-03,2019,3,46.67,54.0,-7.33,86.4
Kilifi,KE003,coastal,2019-04,2019,4,125.0,162.0,-37.0,77.2
Kilifi,KE003,coastal,2019-05,2019,5,142.8,144.0,-1.2,99.2
Kilifi,KE003,coastal,2019-06,2019,6,47.51,72.0,-24.49,66.0
Kilifi,KE003,coastal,2019-07,2019,7,32.58,36.0,-3.42,90.5
Kilifi,KE003,coastal,2019-08,2019,8,40.02,36.0,4.02,111.2
Kilifi,KE003,coastal,2019-09,2019,9,46.65,45.0,1.65,103.7
Kilifi,KE003,coastal,2019-10,2019,10,174.28,99.0,75.28,176.0
Kilifi,KE003,coastal,2019-11,2019,11,222.9,126.0,96.9,176.9
Kilifi,KE003,coastal,2019-12,2019,12,153.71,72.0,81.71,213.5
Kilifi,KE003,coastal,2020-01,2020,1,55.52,27.0,28.52,205.6
Kilifi,KE003,coastal,2020-02,2020,2,18.31,27.0,-8.69,67.8
Kilifi,KE003,coastal,2020-03,2020,3,69.65,54.0,15.65,129.0
Kilifi,KE003,coastal,2020-04,2020,4,66.86,162.0,-95.14,41.3
Kilifi,KE003,coastal,2020-05,2020,5,30.12,144.0,-113.88,20.9
Kilifi,KE003,coastal,2020-06,2020,6,54.46,72.0,-17.54,75.6
Kilifi,KE003,coastal,2020-07,2020,7,39.1,36.0,3.1,108.6
Kilifi,KE003,coastal,2020-08,2020,8,67.7,36.0,31.7,188.1
Kilifi,KE003,coastal,2020-09,2020,9,28.72,45.0,-16.28,63.8
Kilifi,KE003,coastal,2020-10,2020,10,111.7,99.0,12.7,112.8
Kilifi,KE003,coastal,2020-11,2020,11,64.23,126.0,-61.77,51.0
Kilifi,KE003,coastal,2020-12,2020,12,130.77,72.0,58.77,181.6
Kilifi,KE003,coastal,2021-01,2021,1,40.06,27.0,13.06,148.4
Kilifi,KE003,coastal,2021-02,2021,2,20.94,27.0,-6.06,77.6
Kilifi,KE003,coastal,2021-03,2021,3,15.35,54.0,-38.65,28.4
Kilifi,KE003,coastal,2021-04,2021,4,171.21,162.0,9.21,105.7
Kilifi,KE003,coastal,2021-05,2021,5,87.1,144.0,-56.9,60.5
Kilifi,KE003,coastal,2021-06,2021,6,109.06,72.0,37.06,151.5
Kilifi,KE003,coastal,2021-07,2021,7,34.15,36.0,-1.85,94.9
Kilifi,KE003,coastal,2021-08,2021,8,34.74,36.0,-1.26,96.5
Kilifi,KE003,coastal,2021-09,2021,9,35.19,45.0,-9.81,78.2
Kilifi,KE003,coastal,2021-10,2021,10,81.48,99.0,-17.52,82.3
Kilifi,KE003,coastal,2021-11,2021,11,85.19,126.0,-40.81,67.6
Kilifi,KE003,coastal,2021-12,2021,12,56.86,72.0,-15.14,79.0
Kilifi,KE003,coastal,2022-01,2022,1,7.3,27.0,-19.7,27.0
Kilifi,KE003,coastal,2022-02,2022,2,24.05,27.0,-2.95,89.1
Kilifi,KE003,coastal,2022-03,2022,3,43.75,54.0,-10.25,81.0
Kilifi,KE003,coastal,2022-04,2022,4,77.17,162.0,-84.83,47.6
Kilifi,KE003,coastal,2022-05,2022,5,138.0,144.0,-6.0,95.8
Kilifi,KE003,coastal,2022-06,2022,6,106.7,72.0,34.7,148.2
Kilifi,KE003,coastal,2022-07,2022,7,36.04,36.0,0.04,100.1
Kilifi,KE003,coastal,2022-08,2022,8,46.8,36.0,10.8,130.0
Kilifi,KE003,coastal,2022-09,2022,9,52.44,45.0,7.44,116.5
Kilifi,KE003,coastal,2022-10,2022,10,25.41,99.0,-73.59,25.7
Kilifi,KE003,coastal,2022-11,2022,11,66.06,126.0,-59.94,52.4
Kilifi,KE003,coastal,2022-12,2022,12,55.99,72.0,-16.01,77.8
Kilifi,KE003,coastal,2023-01,2023,1,30.41,27.0,3.41,112.6
Kilifi,KE003,coastal,2023-02,2023,2,8.86,27.0,-18.14,32.8
Kilifi,KE003,coastal,2023-03,2023,3,17.96,54.0,-36.04,33.3
Kilifi,KE003,coastal,2023-04,2023,4,116.91,162.0,-45.09,72.2
Kilifi,KE003,coastal,2023-05,2023,5,39.14,144.0,-104.86,27.2
Kilifi,KE003,coastal,2023-06,2023,6,59.12,72.0,-12.88,82.1
Kilifi,KE003,coastal,2023-07,2023,7,35.53,36.0,-0.47,98.7
Kilifi,KE003,coastal,2023-08,2023,8,20.28,36.0,-15.72,56.3
Kilifi,KE003,coastal,2023-09,2023,9,37.36,45.0,-7.64,83.0
Kilifi,KE003,coastal,2023-10,2023,10,284.65,99.0,185.65,287.5
Kilifi,KE003,coastal,2023-11,2023,11,199.75,126.0,73.75,158.5
Kilifi,KE003,coastal,2023-12,2023,12,101.37,72.0,29.37,140.8
Kilifi,KE003,coastal,2024-01,2024,1,26.9,27.0,-0.1,99.6
Kilifi,KE003,coastal,2024-02,2024,2,17.77,27.0,-9.23,65.8
Kilifi,KE003,coastal,2024-03,2024,3,109.75,54.0,55.75,203.2
Kilifi,KE003,coastal,2024-04,2024,4,163.37,162.0,1.37,100.8
Kilifi,KE003,coastal,2024-05,2024,5,105.78,144.0,-38.22,73.5
Kilifi,KE003,coastal,2024-06,2024,6,74.33,72.0,2.33,103.2
Kilifi,KE003,coastal,2024-07,2024,7,32.53,36.0,-3.47,90.4
Kilifi,KE003,coastal,2024-08,2024,8,31.08,36.0,-4.92,86.3
Kilifi,KE003,coastal,2024-09,2024,9,33.97,45.0,-11.03,75.5
Kilifi,KE003,coastal,2024-10,2024,10,64.45,99.0,-34.55,65.1
Kilifi,KE003,coastal,2024-11,2024,11,52.22,126.0,-73.78,41.4
Kilifi,KE003,coastal,2024-12,2024,12,100.39,72.0,28.39,139.4
Kilifi,KE003,coastal,2025-01,2025,1,32.11,27.0,5.11,118.9
Kilifi,KE003,coastal,2025-02,2025,2,28.97,27.0,1.97,107.3
Kilifi,KE003,coastal,2025-03,2025,3,46.54,54.0,-7.46,86.2
Kilifi,KE003,coastal,2025-04,2025,4,96.63,162.0,-65.37,59.6
Kilifi,KE003,coastal,2025-05,2025,5,94.25,144.0,-49.75,65.5
Kilifi,KE003,coastal,2025-06,2025,6,35.57,72.0,-36.43,49.4
Kilifi,KE003,coastal,2025-07,2025,7,25.8,36.0,-10.2,71.7
Kilifi,KE003,coastal,2025-08,2025,8,21.06,36.0,-14.94,58.5
Kilifi,KE003,coastal,2025-09,2025,9,79.51,45.0,34.51,176.7
Kilifi,KE003,coastal,2025-10,2025,10,137.24,99.0,38.24,138.6
Kilifi,KE003,coastal,2025-11,2025,11,128.04,126.0,2.04,101.6
Kilifi,KE003,coastal,2025-12,2025,12,48.63,72.0,-23.37,67.5
Kilifi,KE003,coastal,2026-01,2026,1,14.85,27.0,-12.15,55.0
Kilifi,KE003,coastal,2026-02,2026,2,20.78,27.0,-6.22,77.0
Tana River,KE004,arid,2018-01,2018,1,17.78,13.12,4.66,135.5
Tana River,KE004,arid,2018-02,2018,2,4.38,8.75,-4.37,50.1
Tana River,KE004,arid,2018-03,2018,3,20.59,26.25,-5.66,78.4
Tana River,KE004,arid,2018-04,2018,4,24.9,52.5,-27.6,47.4
Tana River,KE004,arid,2018-05,2018,5,22.32,43.75,-21.43,51.0
Tana River,KE004,arid,2018-06,2018,6,16.9,17.5,-0.6,96.6
Tana River,KE004,arid,2018-07,2018,7,5.76,8.75,-2.99,65.8
Tana River,KE004,arid,2018-08,2018,8,7.5,8.75,-1.25,85.7
Tana River,KE004,arid,2018-09,2018,9,13.9,21.88,-7.98,63.5
Tana River,KE004,arid,2018-10,2018,10,34.16,52.5,-18.34,65.1
Tana River,KE004,arid,2018-11,2018,11,73.47,65.62,7.85,112.0
Tana River,KE004,arid,2018-12,2018,12,26.57,30.63,-4.06,86.8
Tana River,KE004,arid,2019-01,2019,1,16.67,13.12,3.55,127.0
Tana River,KE004,arid,2019-02,2019,2,6.23,8.75,-2.52,71.2
Tana River,KE004,arid,2019-03,2019,3,28.66,26.25,2.41,109.2
Tana River,KE004,arid,2019-04,2019,4,21.45,52.5,-31.05,40.9
Tana River,KE004,arid,2019-05,2019,5,38.86,43.75,-4.89,88.8
Tana River,KE004,arid,2019-06,2019,6,21.31,17.5,3.81,121.8
Tana River,KE004,arid,2019-07,2019,7,3.82,8.75,-4.93,43.7
Tana River,KE004,arid,2019-08,2019,8,6.26,8.75,-2.49,71.5
Tana River,KE004,arid,2019-09,2019,9,21.11,21.88,-0.77,96.5
Tana River,KE004,arid,2019-10,2019,10,135.47,52.5,82.97,258.0
Tana River,KE004,arid,2019-11,2019,11,89.77,65.62,24.15,136.8
Tana River,KE004,arid,2019-12,2019,12,66.19,30.63,35.56,216.1
Tana River,KE004,arid,2020-01,2020,1,21.34,13.12,8.22,162.6
Tana River,KE004,arid,2020-02,2020,2,10.41,8.75,1.66,119.0
Tana River,KE004,arid,2020-03,2020,3,12.03,26.25,-14.22,45.8
Tana River,KE004,arid,2020-04,2020,4,30.4,52.5,-22.1,57.9
Tana River,KE004,arid,2020-05,2020,5,16.84,43.75,-26.91,38.5
Tana River,KE004,arid,2020-06,2020,6,17.16,17.5,-0.34,98.1
Tana River,KE004,arid,2020-07,2020,7,7.76,8.75,-0.99,88.7
Tana River,KE004,arid,2020-08,2020,8,9.49,8.75,0.74,108.5
Tana River,KE004,arid,2020-09,2020,9,17.4,21.88,-4.48,79.5
Tana River,KE004,arid,2020-10,2020,10,57.04,52.5,4.54,108.6
Tana River,KE004,arid,2020-11,2020,11,50.94,65.62,-14.68,77.6
Tana River,KE004,arid,2020-12,2020,12,39.85,30.63,9.22,130.1
Tana River,KE004,arid,2021-01,2021,1,10.83,13.12,-2.3,82.5
Tana River,KE004,arid,2021-02,2021,2,3.1,8.75,-5.65,35.4
Tana River,KE004,arid,2021-03,2021,3,9.06,26.25,-17.19,34.5
Tana River,KE004,arid,2021-04,2021,4,28.52,52.5,-23.98,54.3
Tana River,KE004,arid,2021-05,2021,5,43.86,43.75,0.11,100.3
Tana River,KE004,arid,2021-06,2021,6,22.88,17.5,5.38,130.7
Tana River,KE004,arid,2021-07,2021,7,2.8,8.75,-5.95,32.0
Tana River,KE004,arid,2021-08,2021,8,4.2,8.75,-4.55,48.0
Tana River,KE004,arid,2021-09,2021,9,32.05,21.88,10.17,146.5
Tana River,KE004,arid,2021-10,2021,10,36.87,52.5,-15.63,70.2
Tana River,KE004,arid,2021-11,2021,11,80.94,65.62,15.32,123.3
Tana River,KE004,arid,2021-12,2021,12,13.79,30.63,-16.84,45.0
Tana River,KE004,arid,2022-01,2022,1,4.22,13.12,-8.91,32.2
Tana River,KE004,arid,2022-02,2022,2,4.21,8.75,-4.54,48.1
Tana River,KE004,arid,2022-03,2022,3,8.28,26.25,-17.97,31.5
Tana River,KE004,arid,2022-04,2022,4,30.22,52.5,-22.28,57.6
Tana River,KE004,arid,2022-05,2022,5,13.6,43.75,-30.15,31.1
